,store_number,city,sale_total_16q1,sale_mean_16q1,county_number,price_per_liter_mean_16q1,zip,vol_sol_l_sum_16q1,vol_sold_l_mean_16q1,margin_mean_16q1,margin_sum_16q1
0,2106,CEDAR FALLS,337804.05,274.860903173,7,18.1082575846,50613,22277.95,18.1268917819,91.6704149715,112662.94
1,2113,GOWRIE,21736.63,55.3094910941,94,17.6292778384,50543,1608.07,4.09178117048,18.4735368957,7260.1
2,2130,WATERLOO,306942.27,295.420856593,7,17.0467624547,50703,18172.75,17.4906159769,98.5233782483,102365.79
3,2152,ROCKWELL,9307.75,42.6961009174,17,14.1976234163,50469,799.39,3.6669266055,14.3155045872,3120.78
4,2178,WAUKON,58939.9,98.3971619366,3,16.9488456952,52172,4606.64,7.6905509182,32.8869949917,19699.31
5,2190,DES MOINES,332979.03,105.707628571,77,26.219991421,50314,16588.11,5.26606666667,35.2612984127,111073.09
6,2191,KEOKUK,302592.88,203.082469799,56,18.95564845,52632,19170.73,12.866261745,67.7251677852,100910.5
7,2200,SAC CITY,55315.23,58.7834537726,81,16.2740863317,50583,4297.56,4.56701381509,19.6641126461,18503.93
8,2228,WINTERSET,42398.57,63.2814477612,61,17.9028756219,50273,3492.63,5.21288059701,21.1501343284,14170.59
9,2233,SPIRIT LAKE,56241.57,116.683755187,30,20.547202134,51360,4333.13,8.98989626556,38.9661410788,18781.68
10,2238,ALTOONA,3536.14,235.742666667,77,27.2831111111,50009,135.0,9.0,78.5986666667,1178.98
11,2248,DES MOINES,137416.93,138.385629406,77,27.4955905022,50312,6176.85,6.22039274924,46.1685699899,45845.39
12,2285,IOWA CITY,158476.55,270.437798635,52,27.4669889582,52240,7231.32,12.3401365188,90.1821672355,52846.75
13,2290,STORM LAKE,125731.51,49.7355656646,11,18.8412549917,50588,8347.23,3.30191060127,16.6037618671,41974.31
14,2327,CORNING,21834.49,49.2877878104,2,17.0246866602,50841,1643.87,3.71076749436,16.4647629797,7293.89
15,2353,CRESCO,39609.55,110.333008357,45,15.062699297,52136,3196.9,8.90501392758,36.854902507,13230.91
16,2413,DUBUQUE,204038.87,189.8036,31,17.9278077519,52001,13122.15,12.2066511628,63.3314232558,68081.28
17,2445,OAKLAND,15689.8,43.9490196078,78,14.6191156463,51560,1443.03,4.04210084034,14.661092437,5234.01
18,2448,INDIANOLA,48545.69,49.8415708419,91,17.2288515694,50125,3182.02,3.26696098563,16.6251540041,16192.9
19,2459,GUTHRIE CENTER,16320.74,66.0758704453,39,14.5567399267,50115,1362.32,5.51546558704,22.1162348178,5462.71
20,2465,DUBUQUE,53182.55,69.0682467532,31,22.5945553494,52003,3326.1,4.31961038961,23.0519220779,17749.98
21,2475,WEST BEND,30402.43,141.406651163,55,15.2824097453,50597,2772.77,12.8966046512,47.3319069767,10176.36
22,2478,ALTOONA,47217.4,217.591705069,77,26.5034715822,50009,2404.0,11.0783410138,72.5532258065,15744.05
23,2498,ARLINGTON,6367.76,41.6193464052,33,13.9039215686,50606,555.31,3.62947712418,13.9205882353,2129.85
24,2500,AMES,329252.09,96.7819194591,85,18.8191704809,50010,21351.31,6.27610523222,32.296984127,109874.34
25,2501,AMES,332976.05,113.372846442,85,19.4287829294,50010,22874.07,7.78824310521,37.8563976847,111184.24
26,2502,ANKENY,234926.02,131.537525196,77,19.6942244574,50021,16692.37,9.34623180291,43.9750447928,78539.43
27,2505,BOONE,151934.45,107.907990057,8,16.6688399154,50036,11492.02,8.16194602273,36.1157173295,50850.93
28,2506,BURLINGTON,314068.92,145.469624826,29,18.6809025894,52601,20787.69,9.62838814266,48.5485687818,104816.36
29,2507,BURLINGTON,61847.52,105.362044293,29,15.030064087,52601,5078.8,8.65212947189,35.1446678024,20629.92
30,2508,CEDAR RAPIDS,203644.27,140.250874656,57,26.4657885675,52405,13655.49,9.40460743802,46.7928787879,67943.26
31,2509,CEDAR RAPIDS,123632.78,136.309570011,57,15.605353599,52404,10716.64,11.8154796031,45.6678941566,41420.78
32,2512,IOWA CITY,1050711.75,284.82291949,52,20.6359850392,52240,70102.4,19.0030902684,95.0039550014,350469.59
33,2513,IOWA CITY,149791.31,90.3445778046,52,17.0676213453,52240,10520.09,6.3450482509,30.1672316043,50017.27
34,2514,MARION,61560.7,154.287468672,57,14.2565258384,50129,6407.68,16.0593483709,51.8421303258,20685.01
35,2515,MASON CITY,260966.41,85.0330433366,17,18.3289549101,50401,19277.81,6.28146301727,28.3786803519,87094.17
36,2517,NEWTON,160278.07,86.2173587951,50,16.8292025923,50208,12267.73,6.59910166756,28.81,53557.79
37,2518,RED OAK,78108.56,103.318201058,69,17.6774006362,51566,5741.41,7.59445767196,34.455952381,26048.7
38,2521,WEST DES MOINES,253886.88,127.967177419,77,20.1052654062,50265,16794.09,8.46476310484,42.6991582661,84715.13
39,2522,SPIRIT LAKE,173395.13,132.362694656,30,18.0584247044,51360,12709.07,9.70158015267,44.2829770992,58010.7
40,2523,CENTERVILLE,91524.76,98.3080128894,4,18.1011232162,52544,6474.7,6.95456498389,32.8399355532,30573.98
41,2524,DUBUQUE,247802.36,139.293063519,31,18.5816057041,52001,17348.41,9.75177627881,46.4800393479,82687.99
42,2527,DES MOINES,115591.86,93.3698384491,77,16.7468456227,50315,9638.05,7.78517770598,31.1550646204,38569.97
43,2528,DES MOINES,233350.35,163.182062937,77,18.3095799201,50315,16142.4,11.2883916084,54.5606223776,78021.69
